202;90;-1000;-;de
203;90;-1;keine Angabe;de
204;90;1;Afghanistan;de
205;90;2;Ägypten;de
206;90;3;Albanien;de
207;90;4;Algerien;de
208;90;5;Andorra;de
209;90;6;Angola;de
210;90;7;Antigua und Barbuda;de
211;90;8;Äquatorialguinea;de
212;90;9;Argentinien;de
213;90;10;Armenien;de
214;90;11;Aserbaidschan;de
215;90;12;Äthiopien;de
216;90;13;Australien;de
217;90;14;Bahamas;de
218;90;15;Bahrain;de
219;90;16;Bangladesch;de
220;90;17;Barbados;de
221;90;18;Belarus;de
222;90;19;Belgien;de
223;90;20;Belize;de
224;90;21;Benin;de
225;90;22;Bhutan;de
226;90;23;Bolivien;de
227;90;24;Bosnien und Herzegowina;de
228;90;25;Botsuana;de
229;90;26;Brasilien;de
230;90;27;Brunei Darussalam;de
231;90;28;Bulgarien;de
232;90;29;Burkina Faso;de
233;90;30;Burundi;de
234;90;31;Chile;de
235;90;32;China;de
236;90;33;Cookinseln;de
237;90;34;Costa Rica;de
238;90;35;Côte d'Ivoire;de
239;90;36;Dänemark;de
240;90;37;Deutschland;de
241;90;38;Dominica;de
242;90;39;Dominikanische Republik;de
243;90;40;Dschibuti;de
244;90;41;Ecuador;de
245;90;42;El Salvador;de
246;90;43;Eritrea;de
247;90;44;Estland;de
248;90;45;Fidschi;de
249;90;46;Finnland;de
250;90;47;Frankreich;de
251;90;48;Gabun;de
252;90;49;Gambia;de
253;90;50;Georgien;de
254;90;51;Ghana;de
255;90;52;Grenada;de
256;90;53;Griechenland;de
257;90;54;Großbritannien;de
258;90;55;Guatemala;de
259;90;56;Guinea;de
260;90;57;Guinea-Bissau;de
261;90;58;Guyana;de
262;90;59;Haiti;de
263;90;60;Honduras;de
264;90;61;Indien;de
265;90;62;Indonesien;de
266;90;63;Irak;de
267;90;64;Iran;de
268;90;65;Irland;de
269;90;66;Island;de
270;90;67;Israel;de
271;90;68;Italien;de
272;90;69;Jamaika;de
273;90;70;Japan;de
274;90;71;Jemen;de
275;90;72;Jordanien;de
276;90;73;Kambodscha;de
277;90;74;Kamerun;de
278;90;75;Kanada;de
279;90;76;Kap Verde;de
280;90;77;Kasachstan;de
281;90;78;Katar;de
282;90;79;Kenia;de
283;90;80;Kirgisistan;de
284;90;81;Kiribati;de
285;90;82;Kolumbien;de
286;90;83;Komoren;de
287;90;84;Kongo;de
288;90;85;Kongo Demokratische Republik;de
289;90;86;Korea Demokratische Volksrepublik;de
290;90;87;Korea Republik;de
291;90;88;Kosovo;de
292;90;89;Kroatien;de
293;90;90;Kuba;de
294;90;91;Kuwait;de
295;90;92;Laos;de
296;90;93;Lesotho;de
297;90;94;Lettland;de
298;90;95;Libanon;de
299;90;96;Liberia;de
300;90;97;Libyen;de
301;90;98;Liechtenstein;de
302;90;99;Litauen;de
303;90;100;Luxemburg;de
304;90;101;Madagaskar;de
305;90;102;Malawi;de
